Open,High,Low,Close,Adj Close,Volume,Index_Values,Date,ds,y
246.5500030517578,251.39999389648438,245.61000061035156,251.11000061035156,249.0658416748047,24808200,00,2023-03-02,2023-03-02,251.11000061035156
252.19000244140625,255.6199951171875,251.38999938964844,255.2899932861328,253.21180725097656,30760100,00,2023-03-03,2023-03-03,255.2899932861328
256.42999267578125,260.1199951171875,255.97999572753906,256.8699951171875,254.7789306640625,24109800,00,2023-03-06,2023-03-06,256.8699951171875
256.29998779296875,257.69000244140625,253.38999938964844,254.14999389648438,252.08108520507812,21473200,00,2023-03-07,2023-03-07,254.14999389648438
254.0399932861328,254.5399932861328,250.80999755859375,253.6999969482422,251.63475036621094,17340200,00,2023-03-08,2023-03-08,253.6999969482422
255.82000732421875,259.55999755859375,251.5800018310547,252.32000732421875,250.2659912109375,26653400,00,2023-03-09,2023-03-09,252.32000732421875
251.0800018310547,252.7899932861328,247.60000610351562,248.58999633789062,246.5663604736328,28333900,00,2023-03-10,2023-03-10,248.58999633789062
247.39999389648438,257.9100036621094,245.72999572753906,253.9199981689453,251.85296630859375,33339700,00,2023-03-13,2023-03-13,253.9199981689453
256.75,261.07000732421875,255.86000061035156,260.7900085449219,258.66705322265625,33620300,00,2023-03-14,2023-03-14,260.7900085449219
259.9800109863281,266.4800109863281,259.2099914550781,265.44000244140625,263.2792053222656,46028000,00,2023-03-15,2023-03-15,265.44000244140625
265.2099914550781,276.55999755859375,263.2799987792969,276.20001220703125,273.95159912109375,54768800,00,2023-03-16,2023-03-16,276.20001220703125
278.260009765625,283.3299865722656,276.32000732421875,279.42999267578125,277.15533447265625,69527400,00,2023-03-17,2023-03-17,279.42999267578125
276.9800109863281,277.4800109863281,269.8500061035156,272.2300109863281,270.013916015625,43466600,00,2023-03-20,2023-03-20,272.2300109863281
274.8800048828125,275.0,269.5199890136719,273.7799987792969,271.5513000488281,34558700,00,2023-03-21,2023-03-21,273.7799987792969
273.3999938964844,281.0400085449219,272.17999267578125,272.2900085449219,270.0734558105469,34873300,00,2023-03-22,2023-03-22,272.2900085449219
277.94000244140625,281.05999755859375,275.20001220703125,277.6600036621094,275.39971923828125,36610900,00,2023-03-23,2023-03-23,277.6600036621094
277.239990234375,280.6300048828125,275.2799987792969,280.57000732421875,278.2860412597656,28172000,00,2023-03-24,2023-03-24,280.57000732421875
280.5,281.4599914550781,275.5199890136719,276.3800048828125,274.1300964355469,26840200,00,2023-03-27,2023-03-27,276.3800048828125
