ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-08-01,332.8182043133217,323.60977568666874,342.74998007134906,332.8182043133217,332.8182043133217,0.1535579098595252,0.1535579098595252,0.1535579098595252,0.1535579098595252,0.1535579098595252,0.1535579098595252,0.0,0.0,0.0,332.9717622231812
2023-08-02,332.5727037776976,323.08393486778584,342.52028717533636,332.5727037776976,332.5727037776976,0.18734497527319252,0.18734497527319252,0.18734497527319252,0.18734497527319252,0.18734497527319252,0.18734497527319252,0.0,0.0,0.0,332.7600487529708
2023-08-03,332.3272032420735,323.7627633302228,341.84487735214304,332.3272032420735,332.3272032420735,0.8609183937600882,0.8609183937600882,0.8609183937600882,0.8609183937600882,0.8609183937600882,0.8609183937600882,0.0,0.0,0.0,333.18812163583357
2023-08-04,332.08170270644933,324.1237184694186,343.7251256518522,332.08170270644933,332.08170270644933,1.5372236751163244,1.5372236751163244,1.5372236751163244,1.5372236751163244,1.5372236751163244,1.5372236751163244,0.0,0.0,0.0,333.61892638156564
2023-08-07,331.345201099577,321.98502950395954,341.6670434072754,331.345201099577,331.345201099577,0.8933480563053035,0.8933480563053035,0.8933480563053035,0.8933480563053035,0.8933480563053035,0.8933480563053035,0.0,0.0,0.0,332.2385491558823
2023-08-08,331.0997005639529,321.24910836484884,340.5566420331105,331.0997005639529,331.0997005639529,0.15355790985808865,0.15355790985808865,0.15355790985808865,0.15355790985808865,0.15355790985808865,0.15355790985808865,0.0,0.0,0.0,331.253258473811
2023-08-09,330.8542000283288,321.6772645530147,340.340262560873,330.8542000283288,330.8542000283288,0.18734497527117464,0.18734497527117464,0.18734497527117464,0.18734497527117464,0.18734497527117464,0.18734497527117464,0.0,0.0,0.0,331.0415450036
2023-08-10,330.6086994927047,322.18198586227203,340.8401105843195,330.6086994927047,330.6086994927047,0.8609183937604938,0.8609183937604938,0.8609183937604938,0.8609183937604938,0.8609183937604938,0.8609183937604938,0.0,0.0,0.0,331.4696178864652
2023-08-11,330.36319895708056,322.0188482496709,341.3757834743842,330.36319895708056,330.36319895708056,1.537223675114213,1.537223675114213,1.537223675114213,1.537223675114213,1.537223675114213,1.537223675114213,0.0,0.0,0.0,331.90042263219476
2023-08-14,329.62872719291,320.4905439774467,340.0162698535063,329.62872719291,329.62872719291,0.8933480563100029,0.8933480563100029,0.8933480563100029,0.8933480563100029,0.8933480563100029,0.8933480563100029,0.0,0.0,0.0,330.52207524922
